"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"
П000101249904		/	Е	1	0
П000101249905		/	Е	1	0
П000101249906		/	Е	1	0
					
П000100125004			Е		3
П000100125005			Е		3
П000100125006			Е		3
П000101250104			Е		3
П000101250105			Е		3
П000101250106			Е		3
П000101250204			Е		3
П000101250205			Е		3
П000101250206			Е		3
П000101250304			Е		3
П000101250305			Е		3
П000101250306			Е		3
П000101250404			Е		3
П000101250405			Е		3
П000101250406			Е		3
П000101250504			Е		3
П000101250505			Е		3
П000101250506			Е		3
П000101250604			Е		3
П000101250605			Е		3
П000101250606			Е		3
П000101250704			Е		3
П000101250705			Е		3
П000101250706			Е		3
П000101250804			Е		3
П000101250805			Е		3
П000101250806			Е		3
П000101250904			Е		3
П000101250905			Е		3
П000101250906			Е		3
П000101251004			Е		3
П000101251005			Е		3
П000101251006			Е		3
П000101251104			Е		3
П000101251105			Е		3
П000101251106			Е		3
П000101259902		/	С	1	0
П000101259903		/	С	1	0
П000101259904		/	Е	1	0
П000101259905		/	Е	1	0
П000101259906		/	Е	1	0
					
П000100126004			Е		3
П000100126005			Е		3
П000100126006			Е		3
П000101260104			Е		3
П000101260105			Е		3
П000101260106			Е		3
П000101260204			Е		3
П000101260205			Е		3
П000101260206			Е		3
П000101260304			Е		3
П000101260305			Е		3
П000101260306			Е		3
П000101260404			Е		3
П000101260405			Е		3
П000101260406			Е		3
П000101260504			Е		3
П000101260505			Е		3
П000101260506			Е		3
П000101260604			Е		3
П000101260605			Е		3
П000101260606			Е		3
П000101260704			Е		3
П000101260705			Е		3
П000101260706			Е		3
П000101260804			Е		3
П000101260805			Е		3
П000101260806			Е		3
П000101260904			Е		3
П000101260905			Е		3
П000101260906			Е		3
П000101261004			Е		3
П000101261005			Е		3
П000101261006			Е		3
П000101269902		/	С	1	0
П000101269903		/	С	1	0
П000101269904		/	Е	1	0
П000101269905		/	Е	1	0
П000101269906		/	Е	1	0
					
П000100130004			Е		4
П000100130005			Е		4
П000100130006			Е		4
П000100131004			Е		3
П000100131005			Е		3
П000100131006			Е		3
П000101319902		/	С	1	0
П000101319903		/	С	1	0
П000101319904		/	Е	1	0
П000101319905		/	Е	1	0
П000101319906		/	Е	1	0
					
П000100132004			Е		3
П000100132005			Е		3
П000100132006			Е		3
П000101329902		/	С	1	0
П000101329903		/	С	1	0
П000101329904		/	Е	1	0
П000101329905		/	Е	1	0
П000101329906		/	Е	1	0
					
П000100134004			Е		3
П000100134005			Е		3
П000100134006			Е		3
П000101340104			Е		3
П000101340105			Е		3
П000101340106			Е		3
П000101340204			Е		3
П000101340205			Е		3
П000101340206			Е		3
П000101340304			Е		3
П000101340305			Е		3
П000101340306			Е		3
П000101349902		/	С	1	0
П000101349903		/	С	1	0
П000101349904		/	Е	1	0
П000101349905		/	Е	1	0
П000101349906		/	Е	1	0
					
П000100135004			Е		3
П000100135005			Е		3
П000100135006			Е		3
П000101359902		/	С	1	0
П000101359903		/	С	1	0
П000101359904		/	Е	1	0
П000101359905		/	Е	1	0
П000101359906		/	Е	1	0
					
П000100136004			Е		3
П000100136005			Е		3
П000100136006			Е		3
П000101360104			Е		3
П000101360105			Е		3
П000101360106			Е		3
П000101360204			Е		3
П000101360205			Е		3
П000101360206			Е		3
П000101369902		/	С	1	0
П000101369903		/	С	1	0
П000101369904		/	Е	1	0
П000101369905		/	Е	1	0
П000101369906		/	Е	1	0
					
П000100137004			Е		3
П000100137005			Е		3
П000100137006			Е		3
П000101379902		/	С	1	0
П000101379903		/	С	1	0
П000101379904		/	Е	1	0
П000101379905		/	Е	1	0
П000101379906		/	Е	1	0
					
П000100140004			Е		4
П000100140005			Е		4
П000100140006			Е		4
П000100141004			Е		3
П000100141005			Е		3
П000100141006			Е		3
П000101410104			Е		3
П000101410105			Е		3
П000101410106			Е		3
П000101410204			Е		3
П000101410205			Е		3
П000101410206			Е		3
П000101410304			Е		3
П000101410305			Е		3
П000101410306			Е		3
П000101410404			Е		3
П000101410405			Е		3
П000101410406			Е		3
П000101419902		/	С	1	0
П000101419903		/	С	1	0
П000101419904		/	Е	1	0
П000101419905		/	Е	1	0
П000101419906		/	Е	1	0
					
П000100142004			Е		3
П000100142005			Е		3
П000100142006			Е		3
П000101429902		/	С	1	0
П000101429903		/	С	1	0
П000101429904		/	Е	1	0
П000101429905		/	Е	1	0
П000101429906		/	Е	1	0
					
П000100143004			Е		0
П000100143005			Е		0
П000100143006			Е		0
					
П000100145004			Е		0
П000100145005			Е		0
П000100145006			Е		0
П000101459902		/	С	1	0
П000101459903		/	С	1	0
П000101459904		/	Е	1	0
П000101459905		/	Е	1	0
П000101459906		/	Е	1	0
					
П000100150004			Е		4
П000100150005			Е		4
П000100150006			Е		4
П000100151004			Е		3
П000100151005			Е		3
П000100151006			Е		3
П000101510104			Е		3
П000101510105			Е		3
П000101510106			Е		3
П000101510204			Е		3
П000101510205			Е		3
П000101510206			Е		3
П000101510304			Е		3
П000101510305			Е		3
П000101510306			Е		3
П000101510404			Е		3
П000101510405			Е		3
П000101510406			Е		3
П000101510504			Е		3
П000101510505			Е		3
П000101510506			Е		3
П000101510604			Е		3
П000101510605			Е		3
П000101510606			Е		3
П000101510704			Е		3
П000101510705			Е		3
П000101510706			Е		3
П000101510804			Е		3
П000101510805			Е		3
П000101510806			Е		3
П000101510904			Е		3
П000101510905			Е		3
П000101510906			Е		3
П000101511004			Е		3
